REPORT_ID	DATE_REQUESTED	HOUR_REQUESTED	NO_OF_REQUESTS
2	21/01/2016	0	1
2	21/01/2016	1	1
2	21/01/2016	5	1
3	21/01/2016	6	1
2	21/01/2016	8	2
1	21/01/2016	8	1
1	21/01/2016	9	2
2	21/01/2016	9	5
2	21/01/2016	10	9
3	21/01/2016	10	7
1	21/01/2016	10	2
2	21/01/2016	11	13
1	21/01/2016	11	2
6	21/01/2016	11	4
3	21/01/2016	11	9
2	21/01/2016	12	6
1	21/01/2016	12	2
3	21/01/2016	12	2
6	21/01/2016	12	1
1	21/01/2016	13	5
2	21/01/2016	13	10
6	21/01/2016	13	1
3	21/01/2016	13	5
2	21/01/2016	14	4
3	21/01/2016	14	5
1	21/01/2016	14	1
3	21/01/2016	15	3
2	21/01/2016	15	5
3	21/01/2016	16	3
6	21/01/2016	16	1
1	21/01/2016	16	2
2	21/01/2016	16	5
3	21/01/2016	17	1
2	21/01/2016	17	1
2	21/01/2016	18	1
3	21/01/2016	18	2
1	21/01/2016	18	1
2	21/01/2016	19	1
3	21/01/2016	19	1
3	21/01/2016	20	1
2	21/01/2016	22	1
1	21/01/2016	22	1
3	21/01/2016	22	1
2	22/01/2016	5	2
3	22/01/2016	8	5
2	22/01/2016	8	4
3	22/01/2016	9	1
1	22/01/2016	10	1
3	22/01/2016	10	2
2	22/01/2016	10	5
6	22/01/2016	11	1
2	22/01/2016	11	5
3	22/01/2016	12	3
2	22/01/2016	12	3
3	22/01/2016	13	1
3	22/01/2016	14	9
1	22/01/2016	14	5
6	22/01/2016	14	2
2	22/01/2016	14	8
2	22/01/2016	15	3
1	22/01/2016	15	1
2	22/01/2016	16	4
3	22/01/2016	16	2
1	22/01/2016	16	1
3	22/01/2016	17	1
2	22/01/2016	17	1
2	22/01/2016	19	1
2	22/01/2016	22	1
2	23/01/2016	5	1
6	23/01/2016	8	1
1	23/01/2016	8	1
3	23/01/2016	8	1
2	23/01/2016	11	1
2	23/01/2016	12	1
2	23/01/2016	13	1
1	23/01/2016	14	1
2	23/01/2016	14	3
3	23/01/2016	14	2
1	23/01/2016	18	1
3	23/01/2016	18	1
1	23/01/2016	19	1
2	23/01/2016	19	1
3	23/01/2016	23	1
2	23/01/2016	23	1
2	24/01/2016	10	2
3	24/01/2016	12	1
2	24/01/2016	15	1
2	24/01/2016	17	1
3	24/01/2016	20	1
2	25/01/2016	6	1
2	25/01/2016	8	1
2	25/01/2016	9	1
1	25/01/2016	9	3
3	25/01/2016	9	3
1	25/01/2016	10	5
3	25/01/2016	10	3
2	25/01/2016	10	6
2	25/01/2016	11	6
3	25/01/2016	11	1
1	25/01/2016	11	3
3	25/01/2016	12	4
1	25/01/2016	12	2
2	25/01/2016	12	5
3	25/01/2016	13	1
2	25/01/2016	13	8
1	25/01/2016	13	1
1	25/01/2016	14	3
3	25/01/2016	14	4
2	25/01/2016	14	9
2	25/01/2016	15	5
3	25/01/2016	15	4
2	25/01/2016	16	3
3	25/01/2016	16	2
1	25/01/2016	16	2
3	25/01/2016	17	3
2	25/01/2016	17	1
1	25/01/2016	17	2
2	25/01/2016	19	1
3	25/01/2016	21	2
2	25/01/2016	21	2
2	26/01/2016	0	1
1	26/01/2016	0	1
2	26/01/2016	5	1
2	26/01/2016	6	1
2	26/01/2016	7	1
3	26/01/2016	7	1
1	26/01/2016	7	1
3	26/01/2016	8	1
2	26/01/2016	8	2
3	26/01/2016	9	4
1	26/01/2016	9	3
6	26/01/2016	9	1
2	26/01/2016	9	4
2	26/01/2016	10	5
3	26/01/2016	10	4
1	26/01/2016	10	2
6	26/01/2016	11	1
3	26/01/2016	11	2
2	26/01/2016	11	10
1	26/01/2016	11	2
1	26/01/2016	12	4
2	26/01/2016	12	3
3	26/01/2016	12	2
3	26/01/2016	13	3
2	26/01/2016	13	2
2	26/01/2016	14	1
1	26/01/2016	14	1
3	26/01/2016	14	5
2	26/01/2016	15	14
6	26/01/2016	15	1
3	26/01/2016	15	6
1	26/01/2016	15	3
1	26/01/2016	16	3
2	26/01/2016	16	6
3	26/01/2016	16	5
2	26/01/2016	17	2
3	26/01/2016	17	1
2	26/01/2016	18	2
1	26/01/2016	20	1
2	26/01/2016	20	1
3	26/01/2016	20	1
2	27/01/2016	5	1
3	27/01/2016	6	1
1	27/01/2016	6	1
3	27/01/2016	7	2
1	27/01/2016	8	1
1	27/01/2016	9	2
3	27/01/2016	9	4
2	27/01/2016	9	2
2	27/01/2016	10	4
3	27/01/2016	10	5
1	27/01/2016	10	3
6	27/01/2016	10	1
3	27/01/2016	11	2
1	27/01/2016	11	2
2	27/01/2016	11	2
3	27/01/2016	12	3
2	27/01/2016	12	3
1	27/01/2016	13	1
2	27/01/2016	13	5
3	27/01/2016	13	3
2	27/01/2016	14	8
3	27/01/2016	14	2
1	27/01/2016	14	2
6	27/01/2016	14	2
2	27/01/2016	15	1
